20180625096	2	1	2	0	0
20180625097	4	4	4	5	9
20180625098	9	1	4	1	0
20180625099	5	9	6	0	5
20180625100	2	1	4	5	6
20180625101	1	8	7	0	8
20180625102	2	2	6	3	5
20180625103	6	2	5	0	4
20180625104	5	4	1	8	4
20180625105	0	5	0	7	3
20180625106	0	9	7	1	9
20180625107	0	3	4	1	1
20180625108	2	2	1	8	8
20180625109	2	3	0	6	0
20180625110	7	7	4	3	6
20180625111	1	1	1	7	4
20180625112	6	9	9	1	4
20180625113	2	5	5	4	8
20180625114	2	3	9	4	4
20180625115	7	8	5	2	1
20180625116	7	9	4	8	7
20180625117	6	1	3	8	5
20180625118	6	3	5	4	1
20180625119	2	0	3	8	9
20180625120	5	7	2	5	2
20180626001	3	9	4	9	9
20180626002	1	3	9	0	5
20180626003	2	9	6	9	6
20180626004	8	1	3	4	1
20180626005	1	6	8	4	2
20180626006	6	2	3	9	7
20180626007	8	7	1	2	0
20180626008	2	5	0	0	9
20180626009	8	3	8	5	5
20180626010	9	0	9	8	6
20180626011	9	2	9	0	3
20180626012	7	4	0	0	1
20180626013	8	5	8	3	9
20180626014	2	0	7	4	0
20180626015	6	8	5	5	4
20180626016	6	6	3	7	1
20180626017	2	3	5	8	0
20180626018	4	5	7	2	8
20180626019	3	4	5	9	4
20180626020	0	1	5	3	6
20180626021	6	9	5	7	8
20180626022	1	5	4	6	4
20180626023	6	5	7	4	6
20180626024	3	8	5	9	3
20180626025	5	7	1	3	3
20180626026	4	5	8	7	8
20180626027	1	8	0	9	5
20180626028	7	9	3	8	9
20180626029	5	5	2	3	7
20180626030	3	2	6	0	2
20180626031	3	9	6	9	8
20180626032	0	5	5	8	7
20180626033	4	7	4	1	7
20180626034	1	3	4	7	7
20180626035	6	0	9	7	8
20180626036	0	3	3	2	8
20180626037	0	6	4	7	7
20180626038	9	0	3	3	4
20180626039	4	0	1	0	9
20180626040	2	7	6	9	7
20180626041	9	7	2	0	5
20180626042	4	6	4	1	6
20180626043	3	4	6	8	6
20180626044	9	6	8	2	3
20180626045	6	9	1	6	9
20180626046	5	2	5	6	7
20180626047	6	5	6	3	7
20180626048	1	1	3	0	1
20180626049	8	8	7	1	2
20180626050	9	9	8	1	9
20180626051	5	5	7	1	4
20180626052	4	8	8	1	2
20180626053	4	6	7	7	2
20180626054	7	7	8	9	9
20180626055	8	0	6	8	7
20180626056	0	9	3	0	0
20180626057	4	1	2	3	4
20180626058	8	3	7	8	1
20180626059	9	3	1	6	1
20180626060	3	9	2	4	9
20180626061	9	2	2	9	4
20180626062	6	8	8	8	9
20180626063	7	5	0	9	3
20180626064	7	1	4	6	4
20180626065	1	3	7	0	2
20180626066	7	6	8	7	1
20180626067	4	9	5	6	8
20180626068	6	9	2	2	9
20180626069	0	8	4	9	7
20180626070	6	1	5	3	9
20180626071	2	6	2	4	5
20180626072	5	9	7	2	0
20180626073	7	1	9	8	1
20180626074	0	7	4	4	2
20180626075	4	7	7	7	7
20180626076	4	3	6	0	2
