689147	2,3	9	6	7	5	4	10	1	8
689148	9,3	1	6	5	2	4	8	10	7
689149	3,7	6	10	1	2	8	4	9	5
689150	4,9	5	3	6	8	1	2	7	10
689151	7,4	8	5	3	6	9	2	10	1
689152	6,9	7	1	5	8	10	4	2	3
689153	7,8	6	5	9	10	3	4	1	2
689154	6,8	4	3	9	10	7	2	1	5
689155	1,5	8	3	9	7	10	2	6	4
689156	4,3	10	7	1	8	6	5	9	2
689157	9,8	1	6	3	4	7	10	2	5
689158	7,4	3	8	9	10	1	5	2	6
689159	3,10	5	6	9	7	1	8	2	4
689160	9,6	10	7	4	8	3	1	2	5
689161	8,1	7	9	4	10	2	6	3	5
689162	4,6	3	5	7	1	2	8	9	10
689163	3,8	6	9	2	4	10	1	5	7
689164	4,3	5	2	1	8	9	6	7	10
689165	5,10	8	4	9	3	7	6	2	1
689166	7,1	10	8	6	3	5	2	9	4
689167	4,5	9	3	6	8	7	10	1	2
689168	2,1	10	4	6	8	3	9	5	7
689169	7,4	5	3	1	9	8	10	2	6
689170	7,3	8	4	9	1	5	10	6	2
689171	7,2	1	10	5	9	8	4	6	3
689172	7,1	2	3	8	10	4	9	5	6
689173	4,2	6	3	1	9	10	5	8	7
689174	7,4	3	1	2	10	5	6	8	9
689175	3,1	2	4	10	7	8	9	5	6
689176	10,2	7	9	5	6	8	3	1	4
689177	1,4	3	8	10	7	5	9	2	6
689178	8,4	1	9	10	7	5	3	6	2
689179	7,5	4	1	9	6	8	2	3	10
689180	8,5	10	3	4	2	1	9	7	6
689181	7,5	2	8	4	6	3	9	10	1
689182	4,3	5	7	10	2	6	8	9	1
689183	8,6	4	7	9	1	10	3	2	5
689184	9,2	10	8	3	6	4	1	7	5
689185	1,2	3	5	9	8	10	6	7	4
689186	9,6	8	2	4	1	5	3	10	7
689187	3,8	4	5	7	10	1	9	6	2
689188	1,10	2	3	8	5	7	4	9	6
689189	1,7	4	5	8	9	6	3	10	2
689190	3,9	5	7	6	4	2	1	8	10
689191	9,10	1	2	6	7	4	3	5	8
689192	5,8	6	7	3	1	10	4	9	2
689193	10,1	7	8	3	9	2	6	4	5
689194	6,8	2	4	1	7	5	9	10	3
689195	8,2	4	5	6	9	10	7	1	3
689196	8,6	2	5	10	9	3	4	1	7
689197	7,10	6	9	4	1	5	2	3	8
689198	1,4	5	2	7	9	6	8	10	3
689199	1,9	5	10	6	4	8	7	2	3
689200	3,5	9	2	10	7	8	4	6	1
689201	8,1	2	5	9	7	6	3	4	10
689202	3,7	4	5	6	2	8	1	9	10
689203	8,10	6	3	2	7	4	1	9	5
689204	4,10	8	7	5	2	1	6	3	9
689205	7,6	3	5	1	8	2	10	9	4
689206	10,7	6	5	8	3	1	9	2	4
689207	5,2	6	8	1	10	4	7	9	3
689208	10,2	5	7	8	1	4	9	3	6
689209	8,3	1	2	9	7	6	10	5	4
689210	10,7	5	6	9	2	3	4	8	1
